OFLSA Airport Codes Compilation
Columbus, Ohio: CMH

Corpus Christi, Texas: CRP

Dallas-Fort Worth, Texas: DFW

Dayton, Ohio: DAY

Denver, Colorado: DEN

Des Moines, Iowa: DSM

Detroit, Michigan (City): DET

Detroit, Michigan (Metro): DTW

Dubuque, Iowa: DBQ

Durango, Colorado: DRO

United States L–N
La Crosse, Wisconsin: LSE

Lafayette, Louisiana: LFT

Lake Charles, Louisiana: LCH

Lansing, Michigan: LAN

Las Vegas, Nevada: LAS

Lexington, Kentucky: LEX

Lihue, Kauai, Hawaii: LIH

Lincoln, Nebraska: LNK

Little Rock, Arkansas: LIT

Long Beach, California: LGB

Los Angeles, California: LAX

Louisville, Kentucky: SDF

Lubbock, Texas: LBB

Madison, Wisconsin: MSN

Manchester, New Hampshire: MHT

Marquette, Michigan: MQT

Maui, Hawaii: OGG

McAllen, Texas: MFE

Medford, Oregon: MFR

Melbourne, Florida: MLB

Memphis, Tennessee: MEM

Miami, Florida: MIA

Milwaukee, Wisconsin: MKE

Minneapolis, Minnesota: MSP

Mobile, Alabama: MOB

Moline, Illinois: MLI

Molokai, Hawaii: MKK

Monterey, California: MRY

Montgomery, Alabama: MGM

Montreal, Canada: YUL

Muskegon, Michigan: MKG

Myrtle Beach, South Carolina: MYR

Nashville, Tennessee: BNA

New Haven, Connecticut: HVN

New Orleans, Louisiana: MSY

New York, New York (Kennedy): JFK

New York, New York (La Guardia): LGA

Newark, New Jersey: EWR

Newburgh, New York: SWF

Newport News, Virginia: PHF

Norfolk, Virginia: ORF

United States O–P
Oakland, California: OAK

Odessa/Midland, Texas: MAF

Oklahoma City, Oklahoma: OKC

Omaha, Nebraska: OMA

Ontario, California: ONT

Orange County, California: SNA

Orlando, Florida: MCO

Ottawa, Canada: YOW

Owensboro, Kentucky: OWB

Oxnard, California: OXR

Palm Springs, California: PSP

Pasco, Washington: PSC

Pensacola, Florida: PNS

Peoria, Illinois: PIA

Philadelphia, Pennsylvania: PHL

Phoenix, Arizona: PHX

Pittsburgh, Pennsylvania: PIT

Portland, Maine: PWM

Portland, Oregon: PDX

Providence, Rhode Island: PVD

United States Q–S
Quebec, Canada: YQB

Raleigh-Durham, North Carolina: RDU

Reno, Nevada: RNO

Richmond, Virginia: RIC

Roanoke, Virginia: ROA

Rochester, Minnesota: RST

Rochester, New York: ROC

Sacramento, California: SMF

Salt Lake City, Utah: SLC

San Angelo, Texas: SJT

San Antonio, Texas: SAT

San Diego, California: SAN

San Francisco, California: SFO

San Jose, California: SJC

Santa Barbara, California: SBA

Sarasota, Florida: SRQ

Savannah, Georgia: SAV

Seattle, Washington: SEA

Shreveport, Louisiana: SHV

Sioux Falls, South Dakota: FSD

South Bend, Indiana: SBN

Spokane, Washington: GEG

Springfield, Illinois: SPI

Springfield, Missouri: SGF

St. Louis, Missouri: STL

Syracuse, New York: SYR

United States T–W
Tallahassee, Florida: TLH

Tampa, Florida: TPA

Toledo, Ohio: TOL

Toronto, Canada: YYZ

Traverse City, Michigan: TVC

Tri City, Tennessee: TRI

Tucson, Arizona: TUS

Tulsa, Oklahoma: TUL

Vail, Colorado: EGE

Vancouver, Canada: YVR

Waco, Texas: ACT

Washington, D.C. (Dulles): IAD

Washington, D.C. (National): DCA

Wausau/Stevens Point, Wisconsin: CWA

West Palm Beach, Florida: PBI

Westchester County, New York: HPN

Wichita, Kansas: ICT

Wilmington, North Carolina: ILM

Wilkes Barre, Pennsylvania: AVP
